குறள்,எண்,மாத்திரை,உயிர்க்குறில்,உயிர்நெடில்,ஆய்தம்,மெய்,உயிர்மெய்க்குறில்,உயிர்மெய்நெடில்,உயிரளபெடை,ஒற்றளபெடை,ஐகாரக்குறுக்கம்_முதல்,ஐகாரக்குறுக்கம்_இடைகடை,ஒளகாரக்குறுக்கம்,குற்றியலுகரம்,குற்றியலிகரம்,மகரக்குறுக்கம்,ஆய்தக்குறுக்கம்
"அகர முதல எழுத்தெல்லாம் ஆதி
பகவன் முதற்றே உலகு.",1,1 1 1    1 1 1    1 1 0.5 1 0.5 2 0.5    2 1    1 1 1 0.5    1 1 0.5 2    1 1 0.5    ,3,1,0,5,14,2,0,0,0,0,0,1,0,0,0
"கற்றதனால் ஆய பயனென்கொல் வாலறிவன்
நற்றாள் தொழாஅர் எனின்.",2,1 0.5 1 1 2 0.5    2 1    1 1 1 0.5 1 0.5    2 1 1 1 0.5    1 0.5 2 0.5    1 3 0.5    1 1 0.5    ,1,1,0,9,14,3,1,0,0,0,0,0,0,0,0
"மலர்மிசை ஏகினான் மாணடி சேர்ந்தார்
நிலமிசை நீடுவாழ் வார்.",3,1 1 0.5 1 1    2 1 2 0.5    2 1 1    2 0.5 0.5 2 0.5    1 1 1 1    2 1 2 0.5    2 0.5    ,0,1,0,7,10,7,0,0,0,2,0,0,0,0,0
"வேண்டுதல் வேண்டாமை இலானடி சேர்ந்தார்க்கு
யாண்டும் இடும்பை இல.",4,2 0.5 1 1 0.5    2 0.5 2 1    1 2 1 1    2 0.5 0.5 2 0.5 0.5 0.5    2 0.5 1 0.5    1 1 0.5 1    1 1    ,3,0,0,10,7,7,0,0,0,2,0,1,0,0,0
"இருள்சேர் இருவினையும் சேரா இறைவன்
பொருள்சேர் புகழ்புரிந்தார் மாட்டு.",5,1 1 0.5 2 0.5    1 1 1 1 1 0.5    2 2    1 1 1 0.5    1 1 0.5 2 0.5    1 1 0.5 1 1 0.5 2 0.5    2 0.5 0.5    ,3,0,0,10,11,6,0,0,0,2,0,1,0,0,0
"பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க
நெறிநின்றார் நீடுவாழ் வார்.",6,1 1 2 1 0.5    1.5 0.5 1 1 0.5 2 0.5    1 0.5 2 0.5    1 1 0.5 1    1 1 1 0.5 2 0.5    2 1 2 0.5    2 0.5    ,1,0,0,11,12,7,0,0,1,0,0,0,0,0,0
"தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால்
மனக்கவலை மாற்றல் அரிது.",7,1 1 0.5 1 1 1    1 0.5 2 2 0.5    2 0.5 2 0.5 0.5 2 0.5 0.5    1 0.5 2 0.5    1 1 0.5 1 1 1    2 0.5 1 0.5    1 1 0.5    ,2,0,0,13,11,7,0,0,0,2,0,1,0,0,0
"அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால்
பிறவாழி நீந்தல் அரிது.",8,1 1 2 1    1 0.5 1 1 0.5    2 0.5 2 0.5 0.5 2 0.5 0.5    1 0.5 2 0.5    1 1 2 1    2 0.5 1 0.5    1 1 0.5    ,3,0,0,11,10,7,0,0,0,0,0,1,0,0,0
"கோளில் பொறியின் குணமிலவே எண்குணத்தான்
தாளை வணங்காத் தலை.",9,2 1 0.5    1 0.5* 1 0.5    1 1 1 1 2    1 0.5 1 1 0.5 2 0.5    2 1    1 1 0.5 2 0.5    1 1    ,1,0,0,7,12,5,0,0,0,2,0,0,1,0,0
"பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார்
இறைவன் அடிசேரா தார்.",10,1 1 1 0.5    1 1 0.5 1 1 0.5    2 0.5 1 1 0.5    2 0.5 2 0.5    1 1 1 0.5    1 1 2 2    2 0.5    ,2,0,0,9,11,6,0,0,0,1,0,0,0,0,0
